Newspaper,Calendar,City,County,First Issue,Last Issue,Number of Issues
Semi-weekly south Kentuckian,sew1883110901,Hopkinsville,Christian,"Semi-weekly%20south%20Kentuckian,%201883-11-09","Semi-weekly%20south%20Kentuckian,%201889-01-08",535
Shelby sentinel (The),she1866060601,Shelbyville,Shelby,"Shelby%20sentinel%20(The),%201866-06-06","Shelby%20sentinel%20(The),%201870-06-01",92
South Kentuckian (The),sou1879021801,Hopkinsville,Christian,"South%20Kentuckian%20(The),%201879-02-18","South%20Kentuckian%20(The),%201883-10-30",254
Spencer magnet (The),spe2012022901,Taylorsville,Spencer,"Spencer%20magnet%20(The),%202012-02-29","Spencer%20magnet%20(The),%202012-05-16",6
Spout Spring times (The),spo1896011801,Spout Spring,Estill,"Spout%20Spring%20times%20(The),%201896-01-18","Spout%20Spring%20times%20(The),%201902-04-03",237
Springfield sun (The),spr1904113001,Springfield,Washington,"Springfield%20sun%20(The),%201904-11-30","Springfield%20sun%20(The),%201911-01-25",303
Stanford banner (The),sta1868031901,Stanford,Lincoln,"Stanford%20banner%20(The),%201868-03-19","Stanford%20banner%20(The),%201868-08-13",2
Star (The),str1914111701,Frankfort,Franklin,"Star%20(The),%201914-11-17","Star%20(The),%201916-10-07",2
Sandy Valley advocate (The),sva1860082201,Catlettsburg,Boyd,"Sandy%20Valley%20advocate%20(The),%201860-08-22","Sandy%20Valley%20advocate%20(The),%201862-07-31",3
That same old coon,tha1848061701,New York,,"That%20same%20old%20coon,%201848-06-17","That%20same%20old%20coon,%201848-06-17",1
Thoroughbred record,tho1901122101,Lexington,Fayette,"Thoroughbred%20record,%201901-12-21","Thoroughbred%20record,%201901-12-28",2
Kentuckian (The),tke1919040501,Hopkinsville,Christian,"Kentuckian%20(The),%201919-04-05","Kentuckian%20(The),%201919-12-25",84
Tri-weekly Maysville eagle (The),tme1850112301,Maysville,Mason,"Tri-weekly%20Maysville%20eagle%20(The),%201850-11-23","Tri-weekly%20Maysville%20eagle%20(The),%201874-06-23",4
Tompkinsville news (The),tom2012030101,Tompkinsville,Monroe,"Tompkinsville%20news%20(The),%202012-03-01","Tompkinsville%20news%20(The),%202012-05-17",12
Trenton exponent (The),tre1884030101,Trenton,Todd,"Trenton%20exponent%20(The),%201884-03-01","Trenton%20exponent%20(The),%201884-03-01",1
Tri-weekly Kentucky yeoman,tri1854030701,Frankfort,Franklin,"Tri-weekly%20Kentucky%20yeoman,%201854-03-07","Tri-weekly%20Kentucky%20yeoman,%201882-12-28",829
Trimble banner democrat (The),trm2012012501,Bedford,Trimble,"Trimble%20banner%20democrat%20(The),%202012-01-25","Trimble%20banner%20democrat%20(The),%202012-05-09",14
True American,tru1845060301,Lexington,Fayette,"True%20American,%201845-06-03","True%20American,%201846-10-21",67
Tri-weekly commonwealth,twc1857080301,Frankfort,Franklin,"Tri-weekly%20commonwealth,%201857-08-03","Tri-weekly%20commonwealth,%201864-11-14",485
Voice of masonry and tidings from the craft,voi1884010101,Louisville,Jefferson,"Voice%20of%20masonry%20and%20tidings%20from%20the%20craft,%201884-01-01","Voice%20of%20masonry%20and%20tidings%20from%20the%20craft,%201884-01-03",3
La Voz,voz2003061801,Lexington,Fayette,"La%20Voz,%202003-06-18","La%20Voz,%202019-10-24",185
Weekly dollar Democrat,wdd1855092201,Louisville,Jefferson,"Weekly%20dollar%20Democrat,%201855-09-22","Weekly%20dollar%20Democrat,%201855-09-22",1
The Weekly roundabout,wee1879011101,Frankfort,Franklin,"The%20Weekly%20roundabout,%201879-01-11","The%20Weekly%20roundabout,%201882-08-19",59
Weekly reporter,wek1863011501,Henderson,Henderson,"Weekly%20reporter,%201863-01-15","Weekly%20reporter,%201864-02-25",8
Weekly messenger,wem1852011601,Richmond,Madison,"Weekly%20messenger,%201852-01-16","Weekly%20messenger,%201952-08-20",42
Weekly Shelby news (The),wen1855010301,Shelbyville,Shelby,"Weekly%20Shelby%20news%20(The),%201855-01-03","Weekly%20Shelby%20news%20(The),%201857-02-25",95
Western citizen (The),wes1861061101,Paris,Bourbon,"Western%20citizen%20(The),%201861-06-11","Western%20citizen%20(The),%201866-06-29",17
Western Presbyterian,wet1865081001,Danville,Boyle,"Western%20Presbyterian,%201865-08-10","Western%20Presbyterian,%201867-09-26",8
Winchester news,win1908101201,Winchester,Clark,"Winchester%20news,%201908-10-12","Winchester%20news,%201912-02-29",270
Weekly Kentucky Messenger (The),wkm1865062301,Richmond,Madison,"Weekly%20Kentucky%20Messenger%20(The),%201865-06-23","Weekly%20Kentucky%20Messenger%20(The),%201865-06-23",1
Weekly Kentucky tribune (The),wkt1858011501,Danville,Boyle,"Weekly%20Kentucky%20tribune%20(The),%201858-01-15","Weekly%20Kentucky%20tribune%20(The),%201864-04-08",13
Weekly Louisville Democrat,wld1861030601,Louisville,Jefferson,"Weekly%20Louisville%20Democrat,%201861-03-06","Weekly%20Louisville%20Democrat,%201861-03-06",1
Weekly Louisville Times,wlt1855011001,Louisville,Jefferson,"Weekly%20Louisville%20Times,%201855-01-10","Weekly%20Louisville%20Times,%201856-01-16",2
Weekly Maysville eagle (The),wme1868010801,Maysville,Mason,"Weekly%20Maysville%20eagle%20(The),%201868-01-08","Weekly%20Maysville%20eagle%20(The),%201870-12-28",140
Winchester sun (The),wnc2012013001,Winchester,Clark,"Winchester%20sun%20(The),%202012-01-30","Winchester%20sun%20(The),%202012-04-28",69
Woodford sun,woo1877031601,Versailles,Woodford,"Woodford%20sun,%201877-03-16","Woodford%20sun,%201877-03-16",1
Western monitor,wst1820062701,Lexington,Fayette,"Western%20monitor,%201820-06-27","Western%20monitor,%201820-07-11",2
Young's spirit of the South and Central American,you1859031201,Louisville,Jefferson,"Young's%20spirit%20of%20the%20South%20and%20Central%20American,%201859-03-12","Young's%20spirit%20of%20the%20South%20and%20Central%20American,%201859-03-12",1
